epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20719.8,1.14307,1.11624,1.15856,0.60437,0.4255,0.46574,0.31134,1.286,1.24193,1.25213,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,21843.7,1.28625,1.34186,1.24989,0.6181,0.41822,0.46725,0.31098,1.27383,1.17374,1.23894,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977
3,22880.9,1.35356,1.44701,1.29646,0.57778,0.41504,0.44889,0.29951,1.28768,1.20556,1.26453,0.0294033,0.00980112,0.0294033,0.00980112,0.0294033,0.00980112,0.0294033,0.00980112
4,23983.2,1.35803,1.45037,1.30482,0.61427,0.44676,0.49331,0.33714,1.23061,1.11536,1.22064,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,25085.1,1.29772,1.34911,1.2669,0.65213,0.46549,0.51976,0.35604,1.18993,1.06545,1.19457,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,26172.3,1.27089,1.30618,1.24746,0.64536,0.4847,0.53685,0.3696,1.17296,1.03116,1.18002,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,27240.6,1.25113,1.27299,1.23566,0.66106,0.48844,0.54203,0.37573,1.15737,1.014,1.17026,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,28198,1.23924,1.2487,1.22481,0.6612,0.48878,0.54523,0.38033,1.14907,1.00261,1.16472,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,29127,1.23053,1.23684,1.22155,0.67516,0.48841,0.54869,0.38162,1.1452,0.9965,1.16212,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,30055.2,1.22048,1.22174,1.21403,0.67905,0.48851,0.55031,0.38397,1.14081,0.99263,1.15882,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,30984,1.21765,1.21299,1.21,0.68019,0.49149,0.55289,0.38527,1.13757,0.98887,1.15568,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,31911.8,1.21409,1.20288,1.20927,0.67372,0.49661,0.5548,0.38682,1.13427,0.98495,1.15326,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,32840.3,1.2118,1.19717,1.20648,0.67207,0.49664,0.55618,0.38947,1.13183,0.98035,1.15118,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,33769.8,1.20764,1.1943,1.20431,0.66443,0.50224,0.55866,0.3924,1.12946,0.97815,1.14901,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,34698.3,1.2045,1.189,1.20099,0.6697,0.50035,0.5612,0.39362,1.12723,0.97536,1.1474,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,35626.4,1.20207,1.18536,1.19885,0.67481,0.50131,0.56409,0.39491,1.12473,0.97282,1.14508,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,36554.2,1.19836,1.17773,1.19819,0.68116,0.50452,0.56618,0.3962,1.12317,0.96932,1.14353,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,37483.1,1.19797,1.17786,1.19794,0.68354,0.50391,0.56781,0.39761,1.1205,0.96472,1.14167,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,38411.3,1.19369,1.16847,1.19511,0.68148,0.5085,0.56961,0.3999,1.1175,0.96086,1.13978,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,39338.4,1.19463,1.16878,1.19485,0.68401,0.50763,0.57155,0.40006,1.11608,0.95716,1.13896,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,40265.7,1.19106,1.1661,1.19324,0.68275,0.51212,0.57255,0.40241,1.11477,0.95428,1.13777,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,41194.2,1.18736,1.16234,1.19008,0.6875,0.51287,0.57397,0.40355,1.11305,0.95173,1.13677,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,42122,1.1881,1.15963,1.19071,0.68187,0.51506,0.57511,0.40503,1.11094,0.94885,1.1354,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,43049.5,1.18655,1.15762,1.19027,0.69219,0.51085,0.57729,0.40589,1.10978,0.94642,1.13428,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,43977.2,1.18605,1.15538,1.18775,0.68429,0.5151,0.57849,0.40782,1.10816,0.94419,1.13317,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,44905.9,1.18591,1.15626,1.18884,0.69317,0.512,0.57917,0.40844,1.10693,0.94226,1.13194,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,45833.9,1.18343,1.15121,1.18661,0.70932,0.50823,0.58132,0.40956,1.10593,0.93958,1.13151,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,46761.6,1.18322,1.14984,1.18694,0.69433,0.51579,0.58333,0.41162,1.10458,0.93713,1.13052,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
